		2	3	4	5	6	7	8	9	10	A
4		H	H	H	H	H	H	H	H	H	H
5		H	H	H	H	H	H	H	H	H	Rh
6		H	H	H	H	H	H	H	H	H	Rh
7		H	H	H	H	H	H	H	H	H	Rh
8		H	H	H	H	H	H	H	H	H	H
9		Dh	Dh	Dh	Dh	Dh	H	H	H	H	H
10		Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	H	H
11		Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh
12		H	H	S	S	S	H	H	H	H	Rh
13		S	S	S	S	S	H	H	H	H	Rh
14		S	S	S	S	S	H	H	H	Rh	Rh
15		S	S	S	S	S	H	H	H	Rh	Rh
16		S	S	S	S	S	H	H	H	Rs	Rh
17		S	S	S	S	S	S	S	S	S	Rs
18		S	S	S	S	S	S	S	S	S	S
19		S	S	S	S	S	S	S	S	S	S
20		S	S	S	S	S	S	S	S	S	S
A,2		H	H	H	H	H	H	H	H	H	H
A,3		H	H	H	H	H	H	H	H	H	H
A,4		H	H	H	H	H	H	H	H	H	H
A,5		H	H	H	H	H	H	H	H	H	H
A,6		H	H	H	H	H	H	H	H	H	H
A,7		S	S	S	S	S	S	S	H	H	H*
A,8		S	S	S	S	S	S	S	S	S	S
A,9		S	S	S	S	S	S	S	S	S	S
A,10	S	S	S	S	S	S	S	S	S	S
2,2		P	P	P	P	P	P	H	H	H	H
3,3		P	P	P	P	P	P	H	H	H	Rh
4,4		H	H	H	P	P	H	H	H	H	H
5,5		Dh	Dh	Dh	Dh	Dh	Dh	Dh	Dh	H	H
6,6		P	P	P	P	P	P	H	H	H	Rh
7,7		P	P	P	P	P	P	P	H	Rh	Rh
8,8		P	P	P	P	P	P	P	P	Rs	Rh
9,9		P	P	P	P	P	S	P	P	S	S
10,10	S	S	S	S	S	S	S	S	S	S
A,A		P	P	P	P	P	P	P	P	P	P
